City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,puerto aysen,-45.4,-72.7,4.41,100,100,0.56,CL,1687870136
342,lagoa santa,-19.6272,-43.8897,23.42,52,0,1.71,BR,1687870136
343,lucea,18.451,-78.1736,28.25,74,100,3.71,JM,1687870136
344,new plymouth,-39.0667,174.0833,8.51,75,9,2.71,NZ,1687870052
345,leava,-14.3,-178.1667,26.78,80,86,5.5,WF,1687870136
346,siwa oasis,29.2041,25.5195,35.59,22,0,3.51,EG,1687870136
347,bojonegoro,-7.1502,111.8817,26.19,70,76,5.37,ID,1687870136
348,mishelevka,52.8575,103.1719,14.03,73,100,0.49,RU,1687870137
349,pokhara,28.2333,83.9833,24.15,92,100,0.93,NP,1687870137
350,san julian,21.0167,-102.1667,14.56,79,9,1.47,MX,1687869976
351,puerto leguizamo,-0.1934,-74.7819,23.7,92,60,0.55,CO,1687870137
352,stupava,48.2747,17.0317,23.22,54,100,7.11,SK,1687870137
353,noumea,-22.2763,166.4572,21.11,99,50,5.03,NC,1687870051
354,morehead city,34.7229,-76.726,25.02,74,0,5.29,US,1687870137
355,kachug,53.9606,105.8817,11.97,75,100,0.99,RU,1687870137
356,salinas,36.6777,-121.6555,13.33,88,100,0.45,US,1687870083
357,shulan,44.4167,126.95,19.29,97,100,4.07,CN,1687870137
358,puerto san jose,13.9256,-90.8244,24.97,92,100,4.4,GT,1687870137
359,chui,-33.6971,-53.4616,13.65,77,69,2.27,UY,1687870138
360,och'amch'ire,42.7123,41.4686,24.01,80,28,2.82,GE,1687870138
361,bucerias,20.75,-105.3333,25.55,92,100,1.77,MX,1687870126
